Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,85.62312,-71.78012,135,top
C2,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,97.00288,-62.58588,315,top
C3,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,96.095668,-72.671779,225,top
C4,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97.678173,-73.962956,225,top
C5,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,83.8465,-59.309,180,top
C6,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,83.6715,-57.277,180,top
C7,12p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,96.52,-54.3825,270,top
C8,12p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,88.011,-54.991,90,top
C9,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97.1335,-59.563,0,top
C10,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,100.965,-81.534,180,top
D1,B5619W,D_SOD-123,82.17,-48.26,180,top
F1,500mA,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,86.755,-48.26,180,top
FB1,100 @ 100MHz,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,83.702,-54.991,180,top
G***,LOGO,Logo_STM32L21,91.44,-78.994,0,top
R1,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,102.235,-53.3635,90,top
R2,220,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.694,-59.3325,90,top
U1,STM32L151CCTx,LQFP-48_7x7mm_P0.5mm,91.44,-67.31,180,top
X2,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,92.255,-54.73,180,top
